id,name,provider,enabled,input_price,cached_input_price,output_price,price_level,context_length,output_length,intelligence,speed,supports_image_input,supports_audio_input,supports_video_input,supports_file_input,reasoning_effort,supports_temperature,supports_frequency_penalty,supports_presence_penalty,timeout
gpt-5.4,GPT-5.4,openai,TRUE,2.5,0.25,15,4,272000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,FALSE,FALSE,180
openai/gpt-5.4,GPT-5.4,openrouter,TRUE,2.5,0.25,15,4,272000,128000,5,3,TRUE,FALSE,FALSE,TRUE,high,FALSE,TRUE,TRUE,180
gpt-5.4-nano,GPT-5.4 Nano,openai,TRUE,0.1,0.01,0.625,1,400000,128000,3,5,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,FALSE,FALSE,180
openai/gpt-5.4-nano,GPT-5.4 Nano,openrouter,TRUE,0.1,0.01,0.625,1,400000,128000,3,5,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,TRUE,TRUE,180
gpt-5.4-mini,GPT-5.4 Mini,openai,TRUE,0.375,0.0375,2.25,2,400000,128000,4,4,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,FALSE,FALSE,180
openai/gpt-5.4-mini,GPT-5.4 Mini,openrouter,TRUE,0.375,0.0375,2.25,2,400000,128000,4,4,TRUE,FALSE,FALSE,TRUE,minimal,FALSE,TRUE,TRUE,180
deepseek-v4-flash,Deepseek V4 Flash,deepseek,TRUE,0.14,0.028,0.28,1,1048576,32000,4,4,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
deepseek/deepseek-v4-flash,Deepseek V4 Flash,openrouter,TRUE,0.14,0.028,0.28,1,1048576,32000,4,4,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
deepseek-v4-pro,Deepseek V4 Pro,deepseek,TRUE,1.74,0.145,3.48,3,1048576,64000,5,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
deepseek/deepseek-v4-pro,Deepseek V4 Pro,openrouter,TRUE,1.74,0.145,3.48,3,1048576,64000,5,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
grok-4.3,Grok 4.3,xai,TRUE,1.25,0.125,2.5,2,1000000,128000,5,4,TRUE,FALSE,FALSE,TRUE,high,TRUE,FALSE,FALSE,180
x-ai/grok-4.3,Grok 4.3,openrouter,TRUE,1.25,0.125,2.5,2,1000000,128000,5,4,TRUE,FALSE,FALSE,TRUE,high,TRUE,TRUE,TRUE,180
grok-4.20-non-reasoning,Grok 4.20,xai,TRUE,1.25,0.125,2.5,2,2000000,128000,4,4,TRUE,FALSE,FALSE,TRUE,none,TRUE,FALSE,FALSE,180
x-ai/grok-4.20,Grok 4.20,openrouter,TRUE,1.25,0.125,2.5,2,2000000,128000,4,4,TRUE,FALSE,FALSE,TRUE,none,TRUE,TRUE,TRUE,180
MiniMax-M2.7,MiniMax M2.7,minimax,TRUE,0.1,0.01,0.4,1,204800,131072,5,3,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
